assessmentidentifier,namespace,assessmenttitle,assessmentcategorydescriptorid,assessmentform,assessmentversion,revisiondate,maxrawscore,nomenclature,assessmentfamily,educationorganizationid,adaptiveassessment,discriminator,createdate,lastmodifieddate,id,changeversion
"ACT Science","uri://ed-fi.org/Assessment/Assessment.xml","ACT","113",,"2005","2005-03-12","36.00000",,,,,"NULL","2020-11-13 14:16:14.082608","2020-11-13 14:16:14.055352","eddc106f-2cb7-4443-aba4-cc259027dbc8","12782"
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","ACT","113",,"2005","2005-03-12","36.00000",,,,,"NULL","2020-11-13 14:16:14.082567","2020-11-13 14:16:14.055342","28395b7a-ac58-4204-8f86-6e22057697d6","12783"
"ACT Writing","uri://ed-fi.org/Assessment/Assessment.xml","ACT","113",,"2005","2005-03-12","12.00000",,,,,"NULL","2020-11-13 14:16:14.113302","2020-11-13 14:16:14.112678","4ccbf5e0-49e6-47ca-8769-261a08efa029","12785"
"f3115910-9d0d-451c-b94f-e617657660f9","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Math 2nd Six Weeks 2012-2013","134",,"2012","2012-10-21","10.00000",,,,,"NULL","2020-11-13 14:16:14.128906","2020-11-13 14:16:14.126950","5304fe03-0a8b-4e46-be95-9f69f880c579","12786"
"39576404-04d2-4c06-a0e7-e2cb27968d01","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Modified Math 1st Six Weeks 2012-2013","134",,"2012","2012-09-26","10.00000",,,,,"NULL","2020-11-13 14:16:14.128897","2020-11-13 14:16:14.126952","dc6f8460-67f5-4459-a21d-b122730b7b7e","12788"
"01774fa3-06f1-47fe-8801-c8b1e65057f2","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Reading 1st Six Weeks 2012-2013","134",,"2012","2012-09-19","10.00000",,,,,"NULL","2020-11-13 14:16:14.150746","2020-11-13 14:16:14.150166","522bb6ef-cb3f-4b41-94de-4d8c4cb1a605","12790"
"d128cfa6-b3df-430c-b671-c76d9822417d","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Modified Reading 1st Six Weeks 2012-2013","134",,"2012","2012-09-26","10.00000",,,,,"NULL","2020-11-13 14:16:14.155265","2020-11-13 14:16:14.154833","fd0aa977-21fe-4662-9e3d-7b03a320d4ff","12793"
"1a6a5d20-4758-4f45-848d-59f3f03ae425","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Reading 2nd Six Weeks 2012-2013 Spanish","134",,"2012","2012-10-24","10.00000",,,,,"NULL","2020-11-13 14:16:14.167094","2020-11-13 14:16:14.166573","49c35171-68d4-43a1-94a7-4b21bc5f9a45","12794"
"97e16cba-5fb0-438b-be0e-7f7fb6b591dc","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Reading 1st Six Weeks 2012-2013 Spanish","134",,"2012","2012-09-26","10.00000",,,,,"NULL","2020-11-13 14:16:14.167544","2020-11-13 14:16:14.167063","8454e5ff-55d7-413a-9fa1-c682c09952ce","12795"
"SAT Critical Reading","uri://ed-fi.org/Assessment/Assessment.xml","SAT","113",,"2005","2005-03-12","800.00000",,,,,"NULL","2020-11-13 14:16:14.185135","2020-11-13 14:16:14.184051","15836b25-6d52-4340-991f-0e583fc83664","12796"
"MP-2013-Mathematics-Seventh grade","uri://ed-fi.org/Assessment/Assessment.xml","7th Grade Math Placement","134",,"2010","2010-07-15","25.50000",,,,,"NULL","2020-11-13 14:16:14.193226","2020-11-13 14:16:14.191226","c6d16ed9-2ddf-47e2-9323-d736cf5456d8","12799"
"SA-2011-Mathematics-Eighth grade","uri://ed-fi.org/Assessment/Assessment.xml","State Assessment","128",,"2011","2011-09-01","50.00000",,,,,"NULL","2020-11-13 14:16:14.209244","2020-11-13 14:16:14.207860","f8877afd-bf53-464d-97fe-5e47be7d64df","12800"
"SA-2011-Reading-Fifth grade","uri://ed-fi.org/Assessment/Assessment.xml","State Assessment","128",,"2011","2011-09-01","42.00000",,,,,"NULL","2020-11-13 14:16:14.213803","2020-11-13 14:16:14.212618","f3cd52c4-85a0-4ad6-9c7f-b177b0b94e45","12803"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","ACT","113",,"2005","2005-03-12","36.00000",,,,,"NULL","2020-11-13 14:16:14.082567","2020-11-13 14:16:14.055346","38d156f7-ab9a-4189-aeaf-7e311a0fe4bf","12784"
"f4863c33-6df0-41eb-9501-5ef2e46216c3","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Modified Math 2nd Six Weeks 2012-2013","134",,"2012","2012-10-22","10.00000",,,,,"NULL","2020-11-13 14:16:14.133996","2020-11-13 14:16:14.133535","25e29b10-e21c-40fb-8298-acf4250115df","12789"
"3e0e2cac-847b-4ddd-93ec-925826552447","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Modified Reading 2nd Six Weeks 2012-2013","134",,"2012","2012-10-24","10.00000",,,,,"NULL","2020-11-13 14:16:14.150769","2020-11-13 14:16:14.150329","b43fab63-98ac-4eea-a949-6c41dbc9d671","12791"
"SAT Mathematics","uri://ed-fi.org/Assessment/Assessment.xml","SAT","113",,"2005","2005-03-12","800.00000",,,,,"NULL","2020-11-13 14:16:14.189090","2020-11-13 14:16:14.187849","18061aa6-1996-49cf-b7c3-985ce81b2d0c","12798"
"SA-2011-Mathematics-Fifth grade","uri://ed-fi.org/Assessment/Assessment.xml","State Assessment","128",,"2011","2011-09-01","44.00000",,,,,"NULL","2020-11-13 14:16:14.209349","2020-11-13 14:16:14.207927","93f005ef-f923-40e5-b139-1a68c6305ecb","12801"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","ACT","113",,"2005","2005-03-12","36.00000",,,,,"NULL","2020-11-13 14:16:14.082567","2020-11-13 14:16:14.055335","714b62a8-d8b9-48da-b86b-5ac5429060f7","12781"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Math 1st Six Weeks 2012-2013","134",,"2012","2012-09-25","10.00000",,,,,"NULL","2020-11-13 14:16:14.128906","2020-11-13 14:16:14.126957","6d52d20d-0cc2-4777-a240-eaab5df92cd9","12787"
"19bcfe00-9c75-4d4f-ac2c-706e7479070f","uri://ed-fi.org/Assessment/Assessment.xml","3rd Grade Reading 2nd Six Weeks 2012-2013","134",,"2012","2012-10-24","10.00000",,,,,"NULL","2020-11-13 14:16:14.153093","2020-11-13 14:16:14.152645","593659de-1d61-4626-8ee2-1dc048834796","12792"
"SAT Writing","uri://ed-fi.org/Assessment/Assessment.xml","SAT","113",,"2005","2005-03-12","8.00000",,,,,"NULL","2020-11-13 14:16:14.188984","2020-11-13 14:16:14.187755","aedca1db-5571-402c-b284-e459ef34cc54","12797"
"SA-2011-Reading-Eighth grade","uri://ed-fi.org/Assessment/Assessment.xml","State Assessment","128",,"2011","2011-09-01","48.00000",,,,,"NULL","2020-11-13 14:16:14.212854","2020-11-13 14:16:14.210776","dfc5fd18-4899-4183-85e5-2a29e477898d","12802"
