coursecode,educationorganizationid,learningstandardid,createdate
"03100500","255901001","111.32.NA.A.1.D","2020-11-13 14:15:34.030964"
"ALG-2","255901001","111.33.b.2A.2.B","2020-11-13 14:15:34.030963"
"BIO","255901001","112.34.11.C","2020-11-13 14:15:34.077773"
"ELA-03","255901107","110.14.17.C","2020-11-13 14:15:34.089859"
"ELA-02","255901107","110.13.1.A","2020-11-13 14:15:34.089995"
"ELA-05","255901107","110.16.21.Ai","2020-11-13 14:15:34.099943"
"ELA-04","255901107","110.15.24.Ai","2020-11-13 14:15:34.099917"
"ELA-06","255901044","110.18.2.C","2020-11-13 14:15:34.102209"
"ELA-07","255901044","110.19.20.A","2020-11-13 14:15:34.103120"
"ELA-08","255901044","110.20.3.A","2020-11-13 14:15:34.113282"
"ENG-1","255901001","110.31.9.B","2020-11-13 14:15:34.113309"
"ENG-3","255901001","110.33.5.A","2020-11-13 14:15:34.114880"
"ENG-2","255901001","110.32.24.C","2020-11-13 14:15:34.116149"
"ENG-4","255901001","110.34.24.B","2020-11-13 14:15:34.125202"
"GEOM","255901001","111.34.NA.G.6.A","2020-11-13 14:15:34.127119"
"MATH-02","255901107","111.14.2.1.B","2020-11-13 14:15:34.155333"
"MATH-03","255901107","111.15.3.4.C","2020-11-13 14:15:34.155308"
"MATH-04","255901107","111.16.4.11.D","2020-11-13 14:15:34.155851"
"MATH-05","255901107","111.16.4.6.A","2020-11-13 14:15:34.167603"
"MATH-06","255901044","111.22.NA.6.2.C","2020-11-13 14:15:34.168831"
"MATH-07","255901044","111.23.NA.7.4.A","2020-11-13 14:15:34.168836"
"MATH-08","255901044","111.24.NA.8.15.B","2020-11-13 14:15:34.171655"
"PHYSICS","255901001","112.39.2.A","2020-11-13 14:15:34.218938"
"PRE-CALC","255901001","111.35.NA.P.4.A","2020-11-13 14:15:34.229044"
"SCI-02","255901107","112.13.10.C","2020-11-13 14:15:34.231402"
"SCI-03","255901107","112.14.5.D","2020-11-13 14:15:34.231918"
"SCI-04","255901107","112.15.7.B","2020-11-13 14:15:34.241864"
"SCI-05","255901107","112.16.2.A","2020-11-13 14:15:34.242881"
"SCI-06","255901044","112.18.5.A","2020-11-13 14:15:34.244086"
"SCI-07","255901044","112.19.1.B","2020-11-13 14:15:34.244548"
"SCI-08","255901044","112.20.11.B","2020-11-13 14:15:34.254032"
"SS-02","255901107","113.13.10.A","2020-11-13 14:15:34.273342"
"SS-04","255901107","113.15.17.B","2020-11-13 14:15:34.273395"
"SS-03","255901107","113.14.5.C","2020-11-13 14:15:34.273534"
"SS-05","255901107","113.16.13.B","2020-11-13 14:15:34.282156"
"SS-06","255901044","113.18.15.B","2020-11-13 14:15:34.286046"
"SS-07","255901044","113.19.19.C","2020-11-13 14:15:34.286553"
"SS-08","255901044","113.20.2.A","2020-11-13 14:15:34.288321"
