dateassigned,gradebookentrytitle,localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,gradebookentrytypedescriptorid,description,gradingperioddescriptorid,periodsequence,duedate,discriminator,createdate,lastmodifieddate,id,changeversion
"2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,"2010-08-24","NULL","2020-11-13 14:16:16.978628","2020-11-13 14:16:16.971433","36c74694-0aa5-4b30-8b63-8e8be523d4e8","13332"
"2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,,"NULL","2020-11-13 14:16:16.978629","2020-11-13 14:16:16.971417","f91147cb-7a49-4222-ba72-4bc06ef78005","13335"
"2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,"2010-08-27","NULL","2020-11-13 14:16:16.978628","2020-11-13 14:16:16.971441","439a5ff4-4afc-49ea-b3b3-b1b309762353","13334"
"2010-09-29","Unit 1 Test","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,,"NULL","2020-11-13 14:16:16.995538","2020-11-13 14:16:16.995448","ceb1e9c6-ac0f-40ec-8706-ae959c3becd0","13337"
"2010-09-15","Assignment 5","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,"2010-09-16","NULL","2020-11-13 14:16:16.995496","2020-11-13 14:16:16.995392","292d6b0b-5619-4e84-b1b1-f0e3574ad925","13338"
"2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,"2010-09-22","NULL","2020-11-13 14:16:16.995678","2020-11-13 14:16:16.995534","4787e78f-5f8c-4db3-a3c3-22476f39fbdf","13339"
"2010-10-01","Assignment 8","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,"2010-10-02","NULL","2020-11-13 14:16:17.005474","2020-11-13 14:16:17.005382","24530eab-e902-4889-a2e7-04fda4713893","13341"
"2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,"2010-09-02","NULL","2020-11-13 14:16:16.978636","2020-11-13 14:16:16.971423","d953548c-78d0-4698-8479-395bf7f29750","13333"
"2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,"2010-09-11","NULL","2020-11-13 14:16:16.995423","2020-11-13 14:16:16.995305","a2f2802e-c6de-4952-a4fe-f4dfdcea215d","13336"
"2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester",,,,,"2010-10-01","NULL","2020-11-13 14:16:17.004495","2020-11-13 14:16:17.004377","ec194cbf-f018-4f17-8235-809d96912717","13340"
