assessmentidentifier,assessmentitemidentificationcode,identificationcode,namespace,createdate
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1422","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.739504"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1417","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.739932"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1418","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.742323"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1421","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.741105"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1419","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.742394"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1420","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.742421"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1429","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.760517"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1430","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.760561"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1425","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.761069"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1426","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.761189"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1427","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.761228"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1428","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.761237"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1423","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.762662"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1424","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.762690"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1431","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.767366"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1435","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.777051"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1436","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.777177"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1437","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.777201"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1438","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.777209"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1439","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.777217"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1440","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.777225"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1432","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.778233"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1433","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.778324"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1434","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.778366"
"MP-2013-Mathematics-Seventh grade","DBRDY_18_7_1441","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.816584"
